id_igre,imena,rating,rezultat,st_potez,leto,poteze
15792971,Wesley So vs. Magnus Carlsen,"(2770) , (2862)",0-1,55,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6
15792487,Leinier Dominguez Perez vs. Magnus Carlsen,"(2758) , (2862)",0-1,72,2021,1. e4 c5 2. Nf3 d6 3. d4 cxd4
16025165,Nils Grandelius vs. Magnus Carlsen,"(2670) , (2847)",&frac12;-&frac12;,60,2021,1. e4 c5 2. Nf3 Nc6 3. Bb5 Nf6
16107598,Jan-Krzysztof Duda vs. Magnus Carlsen,"(2775) , (2881)",&frac12;-&frac12;,85,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
15792979,Wesley So vs. Magnus Carlsen,"(2770) , (2862)",1-0,37,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
16046676,Hikaru Nakamura vs. Magnus Carlsen,"(2829) , (2881)",&frac12;-&frac12;,36,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
15792727,Daniil Dubov vs. Magnus Carlsen,"(2710) , (2862)",&frac12;-&frac12;,43,2021,1. d4 Nf6 2. c4 e6 3. Nf3 d5
15791193,David Anton Guijarro vs. Magnus Carlsen,"(2679) , (2862)",&frac12;-&frac12;,69,2021,1. e4 c5 2. Nf3 Nc6 3. Nc3 g6
16117082,Sergey Karjakin vs. Magnus Carlsen,"(2758) , (2855)",1-0,54,2021,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4
16027229,Wesley So vs. Magnus Carlsen,"(2770) , (2847)",&frac12;-&frac12;,57,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16044902,Alan Pichot vs. Magnus Carlsen,"(2630) , (2847)",&frac12;-&frac12;,61,2021,1. e4 c6 2. Nf3 d5 3. d3 Qc7
16026985,Ian Nepomniachtchi vs. Magnus Carlsen,"(2789) , (2847)",&frac12;-&frac12;,62,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16119930,Ian Nepomniachtchi vs. Magnus Carlsen,"(2792) , (2855)",&frac12;-&frac12;,33,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
16027241,Wesley So vs. Magnus Carlsen,"(2770) , (2847)",&frac12;-&frac12;,57,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
15790699,Jan-Krzysztof Duda vs. Magnus Carlsen,"(2743) , (2862)",&frac12;-&frac12;,50,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6
16068972,Ding Liren vs. Magnus Carlsen,"(2836) , (2881)",&frac12;-&frac12;,62,2021,1. d4 Nf6 2. c4 e6 3. g3 d5
16088940,Jan-Krzysztof Duda vs. Magnus Carlsen,"(2738) , (2847)",&frac12;-&frac12;,33,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
16027245,Wesley So vs. Magnus Carlsen,"(2770) , (2847)",&frac12;-&frac12;,57,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16032371,Levon Aronian vs. Magnus Carlsen,"(2781) , (2847)",1-0,68,2021,1. d4 Nf6 2. Nf3 e6 3. Bf4 b6
16109428,Levon Aronian vs. Magnus Carlsen,"(2761) , (2881)",&frac12;-&frac12;,43,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16079222,Aryan Tari vs. Magnus Carlsen,"(2639) , (2847)",0-1,75,2021,1. e4 c5 2. Nf3 e6 3. d4 cxd4
16069496,Levon Aronian vs. Magnus Carlsen,"(2778) , (2881)",1-0,34,2021,1. e4 e6 2. d4 d5 3. exd5 exd5
16113274,Richard Rapport vs. Magnus Carlsen,"(2760) , (2855)",&frac12;-&frac12;,42,2021,1. g3 d5 2. Nf3 c5 3. Bg2 Nc6
